,N,Mean,SD,Median,IQR,Skew,Kurt
t_weeks,52.0000,25.5000,15.1548,25.5000,25.5000,0.0000,-1.2694
T_mean,52.0000,18.4244,7.9975,18.6077,14.0350,-0.0211,-1.3238
RH_mean,52.0000,48.9625,10.6979,49.0670,17.3944,0.2070,-0.9566
AH_mean,52.0000,1.0303,0.3671,1.0558,0.5735,0.0374,-1.0533
S5_mean,52.0000,1020.0033,156.5871,1017.9911,212.7343,0.1459,-0.3742
RMSE,52.0000,3.7848,1.1740,3.7790,1.3168,-0.4059,0.1701
MAE,52.0000,3.1347,1.0339,3.0907,1.2436,-0.5513,-0.4344
JS,52.0000,0.1246,0.0425,0.1250,0.0627,-0.1304,-0.9004
PredVar,52.0000,1.8820,1.4930,1.4784,2.3284,0.4951,-1.1836
CalibGap,52.0000,1.9047,1.3399,1.5827,2.2145,0.3479,-1.0117
DriftScore,52.0000,0.0955,0.6370,0.1353,0.7660,-0.0128,-0.7749
