IV,DV,r,p,p_bonf
t,RMSE,0.9811,0.0000,0.0000
t,JSD,0.8965,0.0000,0.0000
t,SPD,-0.3008,0.1851,1.0000
t,CAL,0.9824,0.0000,0.0000
t,DS,0.7456,0.0001,0.0026
volt_mean,RMSE,-0.9804,0.0000,0.0000
volt_mean,JSD,-0.8795,0.0000,0.0000
volt_mean,SPD,0.3914,0.0794,1.0000
volt_mean,CAL,-0.9788,0.0000,0.0000
volt_mean,DS,-0.6828,0.0006,0.0162
humid_mean,RMSE,0.6728,0.0008,0.0208
humid_mean,JSD,0.5071,0.0190,0.4740
humid_mean,SPD,-0.4934,0.0230,0.5760
humid_mean,CAL,0.6718,0.0009,0.0213
humid_mean,DS,0.2933,0.1970,1.0000
light_mean,RMSE,0.2265,0.3236,1.0000
light_mean,JSD,0.0912,0.6941,1.0000
light_mean,SPD,0.0987,0.6703,1.0000
light_mean,CAL,0.2420,0.2905,1.0000
light_mean,DS,0.2278,0.3207,1.0000
n_sensors,RMSE,-0.9097,0.0000,0.0000
n_sensors,JSD,-0.8127,0.0000,0.0002
n_sensors,SPD,0.4452,0.0431,1.0000
n_sensors,CAL,-0.9019,0.0000,0.0000
n_sensors,DS,-0.5804,0.0058,0.1452
