seed,rmse_first,rmse_last,rmse_mean,r_k1,r_k2,r_k3,r_k4
0,1.1489,16.5812,7.4531,0.6636,0.7012,0.6969,0.6574
1,1.6993,13.2210,5.1362,0.7162,0.7498,0.7247,0.7412
2,1.5523,9.3092,4.5238,0.4057,0.5088,0.3052,0.1861
3,1.1802,19.8758,7.0679,0.7212,0.6267,0.5296,0.5158
4,0.7986,3.1502,4.4040,0.6857,0.5997,0.4566,0.4895
5,2.0719,8.0761,5.2198,0.7395,0.7522,0.6526,0.6998
6,2.2308,15.9804,6.8056,0.6184,0.7156,0.6407,0.5189
7,0.9037,8.1583,4.7237,0.7853,0.7842,0.7032,0.7541
8,1.3365,11.1814,5.3992,0.8232,0.8051,0.7409,0.4683
9,2.0153,7.5509,4.0036,0.7774,0.8367,0.8557,0.8752
