IV,DV,r,p,p_bonf
t,RMSE,0.5507,0.0000,0.0005
t,JSD,0.2465,0.0782,1.0000
t,SPD,0.7284,0.0000,0.0000
t,CAL,-0.2212,0.1151,1.0000
t,DS,0.3892,0.0043,0.0870
T,RMSE,-0.1401,0.3219,1.0000
T,JSD,0.1717,0.2234,1.0000
T,SPD,-0.6823,0.0000,0.0000
T,CAL,0.6316,0.0000,0.0000
T,DS,0.0370,0.7945,1.0000
RH,RMSE,0.0047,0.9736,1.0000
RH,JSD,-0.1887,0.1802,1.0000
RH,SPD,0.2251,0.1087,1.0000
RH,CAL,-0.2566,0.0663,1.0000
RH,DS,-0.0976,0.4912,1.0000
AH,RMSE,-0.0832,0.5578,1.0000
AH,JSD,0.2347,0.0939,1.0000
AH,SPD,-0.6072,0.0000,0.0000
AH,CAL,0.6681,0.0000,0.0000
AH,DS,0.1246,0.3787,1.0000
