seed,rmse_first,rmse_last,rmse_mean,r_k1,r_k2,r_k3,r_k4
0,1.0377,5.1629,3.7353,0.5008,0.3209,0.3654,0.4163
1,0.6453,2.2417,2.4224,0.1420,0.0400,0.1762,0.3497
2,0.5338,1.5685,2.7577,0.5347,0.4247,0.4272,0.5156
3,1.2596,1.7290,4.1191,0.4467,0.2324,0.1437,0.1497
4,0.5871,0.8378,1.8750,0.4098,0.2761,0.2334,0.2014
5,0.8061,2.1521,3.4327,0.4685,0.4317,0.5401,0.5621
6,0.5492,1.3558,1.8588,0.3988,0.4095,0.5328,0.6263
7,0.6493,3.1406,2.6533,0.4660,0.4239,0.4310,0.5350
8,0.6315,1.6180,2.8777,0.4447,0.3557,0.3891,0.4315
9,0.5140,1.6916,3.3760,0.5954,0.4751,0.3327,0.2139
