window,n_samples,RMSE,MAE,JSD,SPD,CAL,T,RH,AH,JSD_z,SPD_z,CAL_z,DS,t
4,144,1.0596330827737788,0.857471985957512,0.045438297553092755,1.056453924844841,0.10319742123551734,13.9625,50.42847222222222,0.7547048611111111,-1.4937504684788299,-0.5180093694282948,-1.2126867874291931,-1.0748155417787726,0
5,168,1.3427182365339412,1.0515742737975224,0.049181711870768294,0.5541299527721346,0.5378815997035957,15.375,60.026785714285715,1.0044678571428574,-1.4162095645141646,-0.8607787991365712,-0.8969513412151684,-1.057979901621968,1
6,168,1.271216440123678,0.9984043640753998,0.04363272993743263,1.5000690920518291,0.5771302567473509,19.511309523809523,40.42619047619048,0.8680910714285713,-1.5311509091478037,-0.21530090571302515,-0.868442845026777,-0.8716315532958686,2
7,168,2.0433643519987204,1.5421000213733937,0.09215126242847468,1.4566664032612326,1.0669022923055387,19.08511904761905,56.469047619047615,1.18805,-0.5261403628584763,-0.24491747930232072,-0.5126940051792008,-0.42791728244666594,3
8,168,1.3909899093877716,1.0856143195449857,0.05111548976522766,1.0918511628597702,0.4109185884134554,16.151785714285715,56.40238095238095,0.9983363095238096,-1.3761533823023127,-0.49385545330607306,-0.9891716818855905,-0.953060172497992,4
9,168,1.5982100729612148,1.1862824431018189,0.05484831030472536,0.5488420598108767,0.6205005699562065,21.372619047619047,36.408928571428575,0.8677708333333334,-1.2988319173488283,-0.8643870841387976,-0.8369405592944114,-1.0000531869273457,5
10,154,2.623254949389022,1.55989980131608,0.07742255544085423,0.30844798204284984,0.9104523363294668,22.714935064935066,33.660389610389615,0.866790909090909,-0.8312300903455317,-1.0284241309908382,-0.6263323640317238,-0.828662195122698,6
11,168,3.923601011651233,3.097399068620901,0.08741482960614917,0.4716931281539054,2.9124733502894795,22.179761904761907,42.61607142857143,1.0710089285714286,-0.6242506043235687,-0.9170309888235522,0.8278475428611577,-0.23781135009532106,7
12,168,4.294348626525168,3.8434129078622514,0.12919110185845561,1.5428704503015656,3.3445777749160053,24.75059523809524,42.29821428571429,1.2170994047619046,0.24110108795966223,-0.18609466039396183,1.1417091694824024,0.3989051990160342,8
13,168,3.4074474802723898,3.0044654175368413,0.13544813982207704,1.071336887432171,2.6336515770097426,26.12083333333334,37.657738095238095,1.192397619047619,0.3707090711181234,-0.5078537231082934,0.6253236844798519,0.16272634416322732,9
14,130,3.15058941168122,2.69649753544876,0.1509098566450706,0.9824766794063278,2.100899760708721,26.254615384615388,38.49769230769231,1.2311561538461537,0.6909823290472791,-0.5684890192959268,0.238356224486394,0.12028317807924878,10
15,168,3.519711890371457,3.0840552889498825,0.1529182565109255,0.6091938544835127,2.6092860985381208,29.72738095238096,35.585119047619045,1.3803375,0.7325842271822427,-0.8232049957020223,0.6076256738355084,0.17233496843857624,11
16,168,3.469463698935449,2.896965012565173,0.15127577710943127,0.30183283575919173,2.474735388757713,30.054761904761904,33.11964285714286,1.2797053571428572,0.6985619879302732,-1.0329380901987377,0.5098939631009514,0.05850595361082896,12
17,168,2.877589662616298,2.3080296830710245,0.12551738855831815,0.18776614003644987,1.9746191385694214,27.14464285714286,33.650000000000006,1.1133380952380951,0.16500396751680474,-1.1107734681924692,0.1466315412465958,-0.2663793198096896,13
18,168,3.522129007552947,2.7798409676077993,0.1548888435000189,0.39037974029727884,2.1292505205031667,30.234523809523807,29.54642857142857,1.1439327380952382,0.773402871208318,-0.9725165820518793,0.2589489679944564,0.019945085716965016,14
19,168,4.6253643940550075,3.9565439204310526,0.15443250022509403,0.48618376365745775,3.7667704723523716,29.960714285714282,35.795833333333334,1.4068297619047618,0.7639501985803402,-0.907143053658586,1.44837135392895,0.4350594996169013,15
20,167,4.658472811466463,4.006893392949878,0.16758441704927823,0.04161602924902397,3.802871861436893,30.51556886227545,38.12994011976047,1.546488622754491,1.0363783705302145,-1.2105015180398624,1.47459381325958,0.43349022191664405,16
21,164,5.22862840900566,4.7014206358262065,0.18081618777988973,1.1633957694390498,4.66347559343404,28.60487804878048,50.46524390243902,1.8392859756097564,1.3104606324535775,-0.4450357565380814,2.0996984680762916,0.9883744479972626,17
22,168,5.219095337954716,4.615038441062621,0.19351899679152307,2.6489074691524186,4.594659766940803,30.098809523809525,39.079166666666666,1.5497327380952381,1.5735860067947671,0.5686287835687638,2.0497136819702004,1.3973094907779107,18
23,168,4.653419957795158,4.192524312788932,0.17785743083143749,2.6861479866251186,3.8746649311536068,28.946428571428573,39.542857142857144,1.496489880952381,1.2491730834608221,0.5940404932339176,1.526741137742304,1.1233182381456812,19
24,123,3.7681505376488307,3.2765241568025236,0.162094142897217,0.019052846149796743,3.273566403394952,27.157723577235775,44.04065040650406,1.4819674796747968,0.922653096051643,-1.2258978953447586,1.0901296361474522,0.26229494561811223,20
25,150,3.890512710262517,3.082392813479712,0.15477880168095343,0.3013226769091988,2.7542011342603008,28.724000000000004,34.478,1.2710780000000002,0.7711234702657174,-1.033286205892582,0.7128855745480527,0.15024094630706267,21
26,168,5.358778558118051,4.62968033195831,0.12413035712410417,0.8421856397964413,4.4136288044245875,26.23392857142857,44.74285714285714,1.4125226190476188,0.13627306516156076,-0.6642190308298016,1.9182207623749932,0.4634249322355841,22
27,168,3.768432906536931,3.45504410208462,0.135010407212727,1.696014651105683,3.41107059984326,23.81547619047619,48.0422619047619,1.3474732142857142,0.36164189892092724,-0.08159407254393732,1.1900066295427747,0.4900181519732549,23
28,168,3.3231804970212417,2.8081672438831866,0.0744197149493066,0.035328041505539254,1.1448849859521726,20.507142857142856,46.35357142857143,1.0953375,-0.8934307837277395,-1.2147922349729074,-0.456050810429706,-0.854757943043451,24
